
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Niveau de réchauffement régional (RWL) :2.0°C
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle sur la période autour du niveau de réchauffement 
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
0;41.3614;-4.0969;RWL-20;nan
143;41.4329;-4.1047;RWL-20;nan
286;41.5044;-4.1125;RWL-20;nan
429;41.5759;-4.1203;RWL-20;nan
572;41.6474;-4.1282;RWL-20;nan
715;41.7189;-4.1361;RWL-20;nan
858;41.7904;-4.144;RWL-20;nan
1001;41.8619;-4.1519;RWL-20;nan
1144;41.9335;-4.1598;RWL-20;nan
1287;42.005;-4.1677;RWL-20;nan
1430;42.0766;-4.1757;RWL-20;nan
1573;42.1481;-4.1837;RWL-20;nan
1716;42.2197;-4.1917;RWL-20;nan
1859;42.2912;-4.1997;RWL-20;nan
2002;42.3628;-4.2078;RWL-20;nan
2145;42.4344;-4.2158;RWL-20;nan
2288;42.5059;-4.2239;RWL-20;nan
2431;42.5775;-4.232;RWL-20;nan
2574;42.6491;-4.2401;RWL-20;nan
2717;42.7207;-4.2483;RWL-20;nan
2860;42.7923;-4.2565;RWL-20;nan
3003;42.8639;-4.2646;RWL-20;nan
3146;42.9355;-4.2728;RWL-20;nan
3289;43.0071;-4.2811;RWL-20;nan
3432;43.0787;-4.2893;RWL-20;nan
3575;43.1503;-4.2976;RWL-20;nan
3718;43.222;-4.3059;RWL-20;nan
3861;43.2936;-4.3142;RWL-20;nan
4004;43.3652;-4.3225;RWL-20;nan
4147;43.4369;-4.3309;RWL-20;nan
4290;43.5085;-4.3392;RWL-20;nan
4433;43.5801;-4.3476;RWL-20;nan
4576;43.6518;-4.356;RWL-20;nan
4719;43.7234;-4.3645;RWL-20;nan
4862;43.7951;-4.3729;RWL-20;nan
5005;43.8667;-4.3814;RWL-20;nan
5148;43.9384;-4.3899;RWL-20;nan
5291;44.01;-4.3984;RWL-20;nan
5434;44.0817;-4.407;RWL-20;nan
5577;44.1534;-4.4155;RWL-20;nan
5720;44.225;-4.4241;RWL-20;nan
5863;44.2967;-4.4327;RWL-20;nan
6006;44.3684;-4.4413;RWL-20;nan
6149;44.44;-4.45;RWL-20;nan
6292;44.5117;-4.4587;RWL-20;nan
6435;44.5834;-4.4673;RWL-20;nan
6578;44.6551;-4.4761;RWL-20;nan
6721;44.7268;-4.4848;RWL-20;nan
6864;44.7984;-4.4936;RWL-20;nan
7007;44.8701;-4.5023;RWL-20;nan
7150;44.9418;-4.5111;RWL-20;nan
7293;45.0135;-4.52;RWL-20;nan
7436;45.0852;-4.5288;RWL-20;nan
7579;45.1569;-4.5377;RWL-20;nan
7722;45.2286;-4.5466;RWL-20;nan
7865;45.3002;-4.5555;RWL-20;nan
8008;45.3719;-4.5645;RWL-20;nan
8151;45.4436;-4.5734;RWL-20;nan
8294;45.5153;-4.5824;RWL-20;nan
8437;45.587;-4.5914;RWL-20;nan
8580;45.6587;-4.6005;RWL-20;nan
8723;45.7304;-4.6095;RWL-20;nan
8866;45.8021;-4.6186;RWL-20;nan
9009;45.8738;-4.6277;RWL-20;nan
9152;45.9455;-4.6368;RWL-20;nan
9295;46.0172;-4.646;RWL-20;nan
9438;46.0889;-4.6552;RWL-20;nan
9581;46.1605;-4.6644;RWL-20;nan
9724;46.2322;-4.6736;RWL-20;nan
9867;46.3039;-4.6829;RWL-20;nan
10010;46.3756;-4.6921;RWL-20;nan
10153;46.4473;-4.7014;RWL-20;nan
10296;46.519;-4.7108;RWL-20;nan
10439;46.5907;-4.7201;RWL-20;nan
10582;46.6624;-4.7295;RWL-20;nan
10725;46.734;-4.7389;RWL-20;nan
10868;46.8057;-4.7483;RWL-20;nan
11011;46.8774;-4.7578;RWL-20;nan
11154;46.9491;-4.7672;RWL-20;nan
11297;47.0207;-4.7767;RWL-20;nan
11440;47.0924;-4.7863;RWL-20;nan
11583;47.1641;-4.7958;RWL-20;nan
11726;47.2358;-4.8054;RWL-20;nan
11869;47.3074;-4.815;RWL-20;nan
12012;47.3791;-4.8246;RWL-20;nan
12155;47.4508;-4.8343;RWL-20;nan
12298;47.5224;-4.8439;RWL-20;nan
12441;47.5941;-4.8536;RWL-20;nan
12584;47.6657;-4.8634;RWL-20;nan
12727;47.7374;-4.8731;RWL-20;nan
12870;47.809;-4.8829;RWL-20;nan
13013;47.8807;-4.8927;RWL-20;nan
13156;47.9523;-4.9026;RWL-20;nan
13299;48.0239;-4.9124;RWL-20;nan
13442;48.0956;-4.9223;RWL-20;nan
13585;48.1672;-4.9322;RWL-20;nan
13728;48.2388;-4.9422;RWL-20;nan
13871;48.3104;-4.9522;RWL-20;nan
14014;48.3821;-4.9622;RWL-20;23.53
14157;48.4537;-4.9722;RWL-20;nan
14300;48.5253;-4.9822;RWL-20;nan
14443;48.5969;-4.9923;RWL-20;nan
14586;48.6685;-5.0024;RWL-20;nan
14729;48.7401;-5.0126;RWL-20;nan
14872;48.8117;-5.0227;RWL-20;nan
15015;48.8832;-5.0329;RWL-20;nan
15158;48.9548;-5.0431;RWL-20;nan
15301;49.0264;-5.0534;RWL-20;nan
15444;49.098;-5.0637;RWL-20;nan
15587;49.1695;-5.074;RWL-20;nan
15730;49.2411;-5.0843;RWL-20;nan
15873;49.3126;-5.0947;RWL-20;nan
16016;49.3842;-5.1051;RWL-20;nan
16159;49.4557;-5.1155;RWL-20;nan
16302;49.5273;-5.1259;RWL-20;nan
16445;49.5988;-5.1364;RWL-20;nan
16588;49.6703;-5.1469;RWL-20;nan
16731;49.7418;-5.1575;RWL-20;nan
16874;49.8133;-5.168;RWL-20;nan
17017;49.8848;-5.1786;RWL-20;nan
17160;49.9563;-5.1893;RWL-20;nan
17303;50.0278;-5.1999;RWL-20;nan
17446;50.0993;-5.2106;RWL-20;nan
17589;50.1708;-5.2213;RWL-20;nan
17732;50.2423;-5.2321;RWL-20;nan
17875;50.3137;-5.2429;RWL-20;nan
18018;50.3852;-5.2537;RWL-20;nan
18161;50.4566;-5.2645;RWL-20;nan
18304;50.528;-5.2754;RWL-20;nan
18447;50.5995;-5.2863;RWL-20;nan
18590;50.6709;-5.2972;RWL-20;nan
18733;50.7423;-5.3082;RWL-20;nan
18876;50.8137;-5.3192;RWL-20;nan
19019;50.8851;-5.3302;RWL-20;nan
1;41.3672;-4.002;RWL-20;nan
144;41.4387;-4.0097;RWL-20;nan
287;41.5102;-4.0174;RWL-20;nan
430;41.5817;-4.0251;RWL-20;nan
573;41.6532;-4.0328;RWL-20;nan
716;41.7247;-4.0406;RWL-20;nan
859;41.7963;-4.0484;RWL-20;nan
1002;41.8678;-4.0562;RWL-20;nan
1145;41.9394;-4.064;RWL-20;nan
1288;42.0109;-4.0718;RWL-20;nan
1431;42.0825;-4.0797;RWL-20;nan
1574;42.154;-4.0875;RWL-20;nan
1717;42.2256;-4.0954;RWL-20;nan
1860;42.2971;-4.1033;RWL-20;nan
2003;42.3687;-4.1113;RWL-20;nan
2146;42.4403;-4.1192;RWL-20;nan
2289;42.5119;-4.1272;RWL-20;nan
2432;42.5835;-4.1352;RWL-20;nan
2575;42.6551;-4.1432;RWL-20;nan
2718;42.7267;-4.1512;RWL-20;nan
2861;42.7983;-4.1592;RWL-20;nan
3004;42.8699;-4.1673;RWL-20;nan
3147;42.9415;-4.1754;RWL-20;nan
3290;43.0131;-4.1835;RWL-20;nan
3433;43.0847;-4.1916;RWL-20;nan
3576;43.1564;-4.1998;RWL-20;nan
3719;43.228;-4.2079;RWL-20;nan
3862;43.2996;-4.2161;RWL-20;nan
4005;43.3713;-4.2243;RWL-20;nan
4148;43.4429;-4.2325;RWL-20;nan
4291;43.5145;-4.2408;RWL-20;nan
4434;43.5862;-4.2491;RWL-20;nan
4577;43.6578;-4.2573;RWL-20;nan
4720;43.7295;-4.2657;RWL-20;nan
4863;43.8012;-4.274;RWL-20;nan
