
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Historique : 1976-2005
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
0;41.3614;-4.0969;REF;nan
143;41.4329;-4.1047;REF;nan
286;41.5044;-4.1125;REF;nan
429;41.5759;-4.1203;REF;nan
572;41.6474;-4.1282;REF;nan
715;41.7189;-4.1361;REF;nan
858;41.7904;-4.144;REF;nan
1001;41.8619;-4.1519;REF;nan
1144;41.9335;-4.1598;REF;nan
1287;42.005;-4.1677;REF;nan
1430;42.0766;-4.1757;REF;nan
1573;42.1481;-4.1837;REF;nan
1716;42.2197;-4.1917;REF;nan
1859;42.2912;-4.1997;REF;nan
2002;42.3628;-4.2078;REF;nan
2145;42.4344;-4.2158;REF;nan
2288;42.5059;-4.2239;REF;nan
2431;42.5775;-4.232;REF;nan
2574;42.6491;-4.2401;REF;nan
2717;42.7207;-4.2483;REF;nan
2860;42.7923;-4.2565;REF;nan
3003;42.8639;-4.2646;REF;nan
3146;42.9355;-4.2728;REF;nan
3289;43.0071;-4.2811;REF;nan
3432;43.0787;-4.2893;REF;nan
3575;43.1503;-4.2976;REF;nan
3718;43.222;-4.3059;REF;nan
3861;43.2936;-4.3142;REF;nan
4004;43.3652;-4.3225;REF;nan
4147;43.4369;-4.3309;REF;nan
4290;43.5085;-4.3392;REF;nan
4433;43.5801;-4.3476;REF;nan
4576;43.6518;-4.356;REF;nan
4719;43.7234;-4.3645;REF;nan
4862;43.7951;-4.3729;REF;nan
5005;43.8667;-4.3814;REF;nan
5148;43.9384;-4.3899;REF;nan
5291;44.01;-4.3984;REF;nan
5434;44.0817;-4.407;REF;nan
5577;44.1534;-4.4155;REF;nan
5720;44.225;-4.4241;REF;nan
5863;44.2967;-4.4327;REF;nan
6006;44.3684;-4.4413;REF;nan
6149;44.44;-4.45;REF;nan
6292;44.5117;-4.4587;REF;nan
6435;44.5834;-4.4673;REF;nan
6578;44.6551;-4.4761;REF;nan
6721;44.7268;-4.4848;REF;nan
6864;44.7984;-4.4936;REF;nan
7007;44.8701;-4.5023;REF;nan
7150;44.9418;-4.5111;REF;nan
7293;45.0135;-4.52;REF;nan
7436;45.0852;-4.5288;REF;nan
7579;45.1569;-4.5377;REF;nan
7722;45.2286;-4.5466;REF;nan
7865;45.3002;-4.5555;REF;nan
8008;45.3719;-4.5645;REF;nan
8151;45.4436;-4.5734;REF;nan
8294;45.5153;-4.5824;REF;nan
8437;45.587;-4.5914;REF;nan
8580;45.6587;-4.6005;REF;nan
8723;45.7304;-4.6095;REF;nan
8866;45.8021;-4.6186;REF;nan
9009;45.8738;-4.6277;REF;nan
9152;45.9455;-4.6368;REF;nan
9295;46.0172;-4.646;REF;nan
9438;46.0889;-4.6552;REF;nan
9581;46.1605;-4.6644;REF;nan
9724;46.2322;-4.6736;REF;nan
9867;46.3039;-4.6829;REF;nan
10010;46.3756;-4.6921;REF;nan
10153;46.4473;-4.7014;REF;nan
10296;46.519;-4.7108;REF;nan
10439;46.5907;-4.7201;REF;nan
10582;46.6624;-4.7295;REF;nan
10725;46.734;-4.7389;REF;nan
10868;46.8057;-4.7483;REF;nan
11011;46.8774;-4.7578;REF;nan
11154;46.9491;-4.7672;REF;nan
11297;47.0207;-4.7767;REF;nan
11440;47.0924;-4.7863;REF;nan
11583;47.1641;-4.7958;REF;nan
11726;47.2358;-4.8054;REF;nan
11869;47.3074;-4.815;REF;nan
12012;47.3791;-4.8246;REF;nan
12155;47.4508;-4.8343;REF;nan
12298;47.5224;-4.8439;REF;nan
12441;47.5941;-4.8536;REF;nan
12584;47.6657;-4.8634;REF;nan
12727;47.7374;-4.8731;REF;nan
12870;47.809;-4.8829;REF;nan
13013;47.8807;-4.8927;REF;nan
13156;47.9523;-4.9026;REF;nan
13299;48.0239;-4.9124;REF;nan
13442;48.0956;-4.9223;REF;nan
13585;48.1672;-4.9322;REF;nan
13728;48.2388;-4.9422;REF;nan
13871;48.3104;-4.9522;REF;nan
14014;48.3821;-4.9622;REF;20.72
14157;48.4537;-4.9722;REF;nan
14300;48.5253;-4.9822;REF;nan
